eventID,totalE_units,totalMIPs,energy_GeV
469,9.013368716625e+03,9.181025426771e+02,9.766311095684e+00
470,9.735188385639e+03,9.777439557737e+02,1.040074632205e+01
471,9.833914511997e+03,1.062710549456e+03,1.130457802719e+01
472,9.869211545651e+03,1.006404385905e+03,1.070562150079e+01
473,9.842577479499e+03,9.611763614549e+02,1.022450862233e+01
474,9.765507011631e+03,1.004128084024e+03,1.068140735119e+01
475,9.246912921007e+03,8.894774690535e+02,9.461812021615e+00
476,9.192183406247e+03,9.281038457481e+02,9.872699905880e+00
477,9.673883369097e+03,9.425680054013e+02,1.002656233011e+01
478,9.733882466254e+03,1.032222619334e+03,1.098026282665e+01
479,9.754887456703e+03,1.059270240058e+03,1.126798175359e+01
480,9.721750322000e+03,1.007036445734e+03,1.071234503398e+01
481,9.638564408889e+03,1.041321937034e+03,1.107705677209e+01
482,8.961084545058e+03,8.050995190029e+02,8.564242010092e+00
483,8.600847418231e+03,7.939753425020e+02,8.445908639536e+00
484,9.185399494564e+03,8.217311923868e+02,8.741161350535e+00
485,9.157883848780e+03,9.377773842476e+02,9.975602122126e+00
486,9.091159218491e+03,8.707510419471e+02,9.262609749179e+00
487,9.023278819916e+03,8.702195570424e+02,9.256956081227e+00
488,9.152491858514e+03,8.728357890838e+02,9.284786236168e+00
489,8.565662411716e+03,8.110903836560e+02,8.627969802158e+00
490,8.785913931996e+03,8.015986898649e+02,8.527001958066e+00
491,9.253946862120e+03,9.201084907032e+02,9.787649357538e+00
492,9.003192109985e+03,8.941625794599e+02,9.511649859568e+00
493,9.180098740913e+03,8.721274534759e+02,9.277251319766e+00
494,9.152397703290e+03,9.483000603940e+02,1.008753703574e+01
495,9.121037964984e+03,8.605064445822e+02,9.153632897176e+00
496,8.605691198841e+03,7.771942190508e+02,8.267399524768e+00
497,9.081482998864e+03,7.692032431714e+02,8.182395559776e+00
498,9.622818934837e+03,9.989823088887e+02,1.062666919454e+01
499,9.745402072189e+03,1.002747719819e+03,1.066672373403e+01
500,9.781426294369e+03,1.046048991924e+03,1.112734079427e+01
501,9.746734147492e+03,9.366699195531e+02,9.963821472110e+00
502,9.673860874543e+03,9.493462202803e+02,1.009866555617e+01
503,9.090588364090e+03,8.310780395450e+02,8.840588389310e+00
504,9.107825167526e+03,8.179463961035e+02,8.700900599455e+00
505,9.722427816755e+03,1.000783765986e+03,1.064583218518e+01
506,9.810456160543e+03,1.054069195127e+03,1.121265566477e+01
507,9.845395243476e+03,1.050734365698e+03,1.117718143380e+01
508,9.848414454481e+03,1.039269519873e+03,1.105522419505e+01
509,9.721946074037e+03,1.018054099765e+03,1.082954527231e+01
510,9.226526944146e+03,9.244828191582e+02,9.834181254075e+00
511,9.151090554913e+03,8.890453845577e+02,9.457215725005e+00
512,9.702605995329e+03,1.048890965191e+03,1.115757227035e+01
513,9.868787097047e+03,1.058070609580e+03,1.125522069052e+01
514,9.886416976812e+03,1.046217602754e+03,1.112913439111e+01
515,9.896080124876e+03,1.111071634795e+03,1.181901882480e+01
516,9.773377862071e+03,9.392422691632e+02,9.991184827913e+00
517,9.340209847708e+03,9.218459359929e+02,9.806131422909e+00
518,9.234885345387e+03,9.397213206841e+02,9.996280736013e+00
519,9.678857426707e+03,9.726022672593e+02,1.034605163681e+01
520,9.839992813296e+03,1.063580753396e+03,1.131383481714e+01
521,9.839286663489e+03,1.000189569597e+03,1.063951142414e+01
522,9.829765341435e+03,9.616519099615e+02,1.022956726713e+01
523,9.780447934303e+03,1.006398910189e+03,1.070556325289e+01
524,9.320776341880e+03,8.959293343369e+02,9.530443705524e+00
525,9.146302323540e+03,9.235219390957e+02,9.823959897331e+00
526,9.578985497996e+03,9.353419113707e+02,9.949694791871e+00
527,9.708262187005e+03,1.027775024057e+03,1.093295155468e+01
528,9.638111596498e+03,1.046142009949e+03,1.112833027304e+01
529,9.757186095687e+03,1.012529921767e+03,1.077078185714e+01
530,9.607359190915e+03,1.036038953866e+03,1.102085906570e+01
531,8.956864119083e+03,8.029425128869e+02,8.541296868580e+00
532,8.542997252808e+03,7.888342744286e+02,8.391220554235e+00
533,8.933625363107e+03,7.955965270435e+02,8.463153981793e+00
534,9.041717981835e+03,9.247351114821e+02,9.836865012379e+00
535,9.272528686791e+03,8.893206297948e+02,9.460143644805e+00
536,9.140275918991e+03,8.832097096790e+02,9.395138763369e+00
537,9.189958498830e+03,8.786925529267e+02,9.347087531551e+00
538,8.533289109535e+03,8.080232910622e+02,8.595343620399e+00
539,8.772029265636e+03,8.008091330509e+02,8.518603051501e+00
540,9.252549810147e+03,9.199771436007e+02,9.786252153408e+00
541,8.989233318263e+03,8.927515000172e+02,9.496639509224e+00
542,9.153422166914e+03,8.705571311002e+02,9.260547023537e+00
543,9.093860151742e+03,9.421012170977e+02,1.002159687192e+01
544,9.128782835575e+03,8.608179890783e+02,9.156946950159e+00
545,8.573337298010e+03,7.739336737849e+02,8.232715491201e+00
546,8.986567619355e+03,7.541820434107e+02,8.022607624253e+00
547,9.667938616331e+03,1.003048943500e+03,1.066992799938e+01
548,9.761800443506e+03,1.001447447413e+03,1.065289209297e+01
549,9.773668034395e+03,1.045823916754e+03,1.112494655831e+01
550,9.782106229300e+03,9.364580061890e+02,9.961567244784e+00
551,9.622528223026e+03,9.440113910608e+02,1.004191633767e+01
552,9.080023905934e+03,8.294366650017e+02,8.823128276013e+00
553,8.930192433593e+03,7.987819693241e+02,8.497039107739e+00
554,9.789671233486e+03,1.008599944250e+03,1.072897674144e+01
555,9.863215580176e+03,1.058505741551e+03,1.125984940463e+01
556,9.846591420294e+03,1.051169915467e+03,1.118181459224e+01
557,9.794793953700e+03,1.032820827138e+03,1.098662625911e+01
558,9.747593962923e+03,1.022289226062e+03,1.087459640660e+01
559,9.139636959937e+03,9.135182479527e+02,9.717545684031e+00
560,9.230755432446e+03,8.982401641682e+02,9.555025146020e+00
561,9.773283302611e+03,1.057406711125e+03,1.124815847410e+01
562,9.891302951859e+03,1.059369657094e+03,1.126903930180e+01
563,9.860884585736e+03,1.044927866390e+03,1.111541482715e+01
564,9.844567621570e+03,1.106501851506e+03,1.177040777847e+01
565,9.679333497474e+03,9.293096105005e+02,9.885526222258e+00
566,9.220540664548e+03,9.103183173615e+02,9.683506438756e+00
567,9.051604739009e+03,9.215655456327e+02,9.803148771888e+00
568,9.703324708115e+03,9.757834645772e+02,1.037989160698e+01
569,9.893906739757e+03,1.069013967153e+03,1.137163060066e+01
570,9.835035138348e+03,1.001911762328e+03,1.065783124049e+01
571,9.892636470396e+03,9.687826093950e+02,1.030542004584e+01
572,9.719095161233e+03,9.988358747728e+02,1.062511150238e+01
573,9.204073544442e+03,8.828755438876e+02,9.391584076475e+00
574,9.110339674781e+03,9.194113839222e+02,9.780233887726e+00
575,9.668140922843e+03,9.454219671013e+02,1.005692133308e+01
576,9.712137347193e+03,1.030323451459e+03,1.096006043812e+01
577,9.739280579200e+03,1.059010722780e+03,1.126522113987e+01
578,9.710663064635e+03,1.007973399424e+03,1.072231187406e+01
579,9.644181405646e+03,1.040189019707e+03,1.106500536983e+01
580,8.984924818939e+03,8.101297486608e+02,8.617751052316e+00
581,8.460454628481e+03,7.804815575871e+02,8.302368571612e+00
582,9.035444911923e+03,8.054271101533e+02,8.567726759277e+00
583,9.073443132324e+03,9.292381928122e+02,9.884766516965e+00
584,9.155953429450e+03,8.775685681945e+02,9.335131149719e+00
585,9.065261220179e+03,8.734243329282e+02,9.291046868299e+00
586,9.002320211416e+03,8.585130913581e+02,9.132428612465e+00
587,8.666924319946e+03,8.202169631690e+02,8.725053744985e+00
588,8.645175657791e+03,7.880547271587e+02,8.382928124144e+00
589,9.002645938743e+03,8.955573875866e+02,9.526487123874e+00
590,9.169456311334e+03,9.111560774914e+02,9.692418107848e+00
591,9.236315389883e+03,8.786801926770e+02,9.346956049459e+00
592,9.148748174526e+03,9.496461470730e+02,1.010185602590e+01
593,9.123560203411e+03,8.601721569683e+02,9.150076914396e+00
594,8.645010548912e+03,7.811556593671e+02,8.309539325845e+00
595,8.996684596103e+03,7.569975771730e+02,8.052557850230e+00
596,9.632450985994e+03,1.000840843062e+03,1.064643934229e+01
597,9.723560173022e+03,9.989287623850e+02,1.062609959388e+01
598,9.766748503925e+03,1.044172208505e+03,1.110737652026e+01
599,9.764330360107e+03,9.360179911045e+02,9.956886586577e+00
600,9.639850207289e+03,9.480841957980e+02,1.008524077721e+01
601,9.094744977030e+03,8.298351271795e+02,8.827366915388e+00
602,9.157880871815e+03,8.208552602825e+02,8.731843627261e+00
603,9.742786402281e+03,1.003073246770e+03,1.067018652530e+01
604,9.857691574170e+03,1.059591685214e+03,1.127140112479e+01
605,9.883377655326e+03,1.055682747242e+03,1.122981981713e+01
606,9.861470313630e+03,1.039066133471e+03,1.105306067324e+01
607,9.753089237649e+03,1.021557359826e+03,1.086681118327e+01
608,9.035542933083e+03,9.045145211368e+02,9.621768586140e+00
609,9.154211638921e+03,8.900495694715e+02,9.467897736882e+00
610,9.770732567138e+03,1.057114082701e+03,1.124504564075e+01
611,9.826902180044e+03,1.052926410940e+03,1.120049930384e+01
612,9.853246828516e+03,1.044538156039e+03,1.111126928528e+01
613,9.870586402534e+03,1.109799590408e+03,1.180548745915e+01
614,9.755615065520e+03,9.377298509918e+02,9.975096487360e+00
615,9.027068622812e+03,8.914670786193e+02,9.482976483182e+00
616,9.048303948359e+03,9.210631930906e+02,9.797804999295e+00
617,9.685257021242e+03,9.730647718446e+02,1.035097152696e+01
618,9.845803132970e+03,1.064872110633e+03,1.132757162314e+01
619,9.885337531706e+03,1.006874833058e+03,1.071062587996e+01
620,9.831059282544e+03,9.594842851667e+02,1.020650916948e+01
621,9.696020268613e+03,9.965641389757e+02,1.060094592447e+01
622,9.288418545377e+03,8.926566086538e+02,9.495630102831e+00
623,9.017859129295e+03,9.095955018881e+02,9.675817492860e+00
624,9.632653731356e+03,9.405571248300e+02,1.000517159833e+01
625,9.747980333677e+03,1.034209047685e+03,1.100139344807e+01
626,9.805853019787e+03,1.066519477884e+03,1.134509548383e+01
627,9.792086960036e+03,1.016139991829e+03,1.080918395894e+01
628,9.636715121269e+03,1.040307408128e+03,1.106626472605e+01
629,9.185120405911e+03,8.241003964583e+02,8.766363746712e+00
630,8.494350356788e+03,7.842427006880e+02,8.342377712085e+00
631,9.124676994588e+03,8.145081582569e+02,8.664326361970e+00
632,8.995693344598e+03,9.196627768713e+02,9.782908078934e+00
633,9.061159942188e+03,8.667352515258e+02,9.219891799139e+00
634,9.187456961331e+03,8.860027809277e+02,9.424850044473e+00
635,9.047620864078e+03,8.631356696636e+02,9.181601265515e+00
636,8.747278447609e+03,8.280093831509e+02,8.807945572634e+00
637,8.387816041221e+03,7.653745723575e+02,8.141668093603e+00
638,8.981552959828e+03,8.932928370220e+02,9.502397978840e+00
639,9.227196412205e+03,9.159374308836e+02,9.743279730069e+00
640,9.177981958388e+03,8.714226551699e+02,9.269754031396e+00
641,9.121377040019e+03,9.440189158855e+02,1.004199638296e+01
642,9.007119241972e+03,8.494867827825e+02,9.036411301219e+00
643,8.722713391038e+03,7.882480988718e+02,8.384985114752e+00
644,9.037959049580e+03,7.629786729840e+02,8.116181726287e+00
645,9.525027287186e+03,9.873539380658e+02,1.050297245946e+01
646,9.731446669314e+03,1.000628805441e+03,1.064418379318e+01
647,9.749954011363e+03,1.042960271597e+03,1.109448454762e+01
648,9.729282575010e+03,9.303805544618e+02,9.896918383162e+00
649,9.723941081293e+03,9.552352205940e+02,1.016130976685e+01
650,9.218403918062e+03,8.428994389972e+02,8.966338465440e+00
651,9.082962648224e+03,8.160645403559e+02,8.680882368578e+00
652,9.740071845092e+03,1.001626021745e+03,1.065479167650e+01
653,9.855864195524e+03,1.058008475144e+03,1.125455973578e+01
654,9.835787342329e+03,1.049887650159e+03,1.116817450159e+01
655,9.826506812098e+03,1.036263685082e+03,1.102324964286e+01
656,9.724447440543e+03,1.019734682673e+03,1.084742246438e+01
657,9.027271759074e+03,9.029276859455e+02,9.604888634920e+00
